,ricebought,cleanyard,housetype,nearstable,own_hhappliance,housesqm,own_vehicles,own_receivables,outerwall,numroom,own_jewelry,floor,ipercap,own_fininstrument_7,own_fininstrument_14
1776,0.0,1.0,1.0,3.0,1.0,81.0,1.0,3.0,1.0,5.0,3.0,3.0,1625000.0,1.0,3.0
1778,10.0,1.0,1.0,3.0,3.0,66.0,3.0,3.0,2.0,10.0,3.0,3.0,544333.3333333334,3.0,3.0
1781,0.0,1.0,1.0,3.0,3.0,144.0,1.0,3.0,1.0,5.0,1.0,6.0,4070000.0,3.0,1.0
1782,10.0,1.0,1.0,3.0,3.0,56.0,3.0,3.0,2.0,4.0,3.0,3.0,942222.2222222222,3.0,3.0
1783,0.0,1.0,1.0,3.0,1.0,72.0,1.0,3.0,2.0,5.0,3.0,6.0,4208333.333333333,3.0,3.0
1784,0.0,1.0,2.0,1.0,1.0,63.0,1.0,3.0,1.0,7.0,3.0,3.0,2030000.0,3.0,3.0
1786,0.0,1.0,1.0,3.0,1.0,42.0,3.0,1.0,2.0,4.0,3.0,6.0,212857.14285714287,1.0,3.0
1787,10.0,3.0,1.0,1.0,1.0,60.0,1.0,3.0,2.0,6.0,3.0,6.0,942857.1428571428,3.0,1.0
1788,4.0,1.0,5.0,3.0,1.0,64.0,1.0,3.0,1.0,5.0,1.0,1.0,2400000.0,3.0,3.0
1790,0.0,1.0,1.0,3.0,3.0,28.0,1.0,3.0,2.0,4.0,1.0,6.0,2200000.0,3.0,3.0
1791,0.0,1.0,1.0,1.0,1.0,72.0,3.0,3.0,2.0,5.0,3.0,3.0,685714.2857142857,1.0,3.0
1792,4.0,1.0,5.0,3.0,1.0,10.0,3.0,3.0,2.0,1.0,3.0,4.0,12000000.0,1.0,1.0
1793,0.0,1.0,1.0,3.0,1.0,60.0,1.0,3.0,1.0,5.0,3.0,2.0,5360000.0,1.0,3.0
1794,0.0,1.0,1.0,1.0,1.0,75.0,3.0,3.0,1.0,6.0,3.0,3.0,11000000.0,3.0,3.0
1795,0.0,1.0,6.0,3.0,1.0,150.0,1.0,3.0,1.0,6.0,3.0,2.0,0.0,1.0,1.0
1796,0.0,1.0,1.0,3.0,1.0,12.0,3.0,3.0,2.0,3.0,3.0,6.0,600000.0,3.0,3.0
1798,5.0,3.0,1.0,1.0,3.0,72.0,3.0,3.0,2.0,2.0,3.0,6.0,840000.0,3.0,3.0
1799,0.0,1.0,1.0,3.0,1.0,84.0,3.0,3.0,1.0,5.0,3.0,3.0,1280000.0,3.0,3.0
1802,0.0,1.0,1.0,3.0,1.0,100.0,1.0,3.0,1.0,8.0,3.0,1.0,1257142.857142857,3.0,1.0
1804,0.0,3.0,1.0,1.0,1.0,40.0,3.0,3.0,2.0,1.0,3.0,6.0,350000.0,3.0,3.0
1805,10.0,1.0,1.0,3.0,1.0,32.0,1.0,3.0,2.0,3.0,3.0,6.0,925000.0,3.0,3.0
1806,4.0,3.0,1.0,3.0,1.0,64.0,3.0,3.0,3.0,2.0,3.0,6.0,4975000.0,3.0,3.0
1808,20.0,1.0,1.0,3.0,3.0,45.0,3.0,3.0,1.0,6.0,1.0,2.0,2612500.0,1.0,3.0
1809,0.0,1.0,1.0,3.0,1.0,35.0,3.0,1.0,2.0,3.0,1.0,3.0,5658333.333333333,1.0,3.0
1810,0.0,3.0,1.0,3.0,3.0,54.0,3.0,3.0,1.0,6.0,1.0,2.0,213000.0,3.0,3.0
1811,50.0,1.0,2.0,3.0,1.0,30.0,3.0,3.0,1.0,5.0,1.0,2.0,2400000.0,3.0,3.0
1812,0.0,1.0,2.0,3.0,1.0,28.0,1.0,3.0,2.0,3.0,3.0,3.0,2800000.0,3.0,3.0
1814,0.0,1.0,1.0,3.0,1.0,120.0,1.0,3.0,1.0,8.0,1.0,3.0,1825263.1578947369,3.0,3.0
1815,0.0,3.0,1.0,3.0,1.0,120.0,3.0,3.0,2.0,2.0,1.0,3.0,2262500.0,3.0,3.0
1816,0.0,1.0,1.0,1.0,3.0,80.0,3.0,3.0,2.0,3.0,1.0,3.0,3450000.0,3.0,3.0
1818,30.0,1.0,8.0,3.0,1.0,72.0,3.0,3.0,2.0,4.0,3.0,4.0,461250.0,3.0,3.0
1821,0.0,1.0,1.0,3.0,1.0,72.0,1.0,3.0,1.0,4.0,1.0,1.0,6000000.0,3.0,1.0
1822,10.0,1.0,1.0,3.0,1.0,48.0,1.0,3.0,2.0,3.0,3.0,6.0,2484000.0,3.0,1.0
1823,0.0,1.0,1.0,3.0,1.0,36.0,1.0,3.0,2.0,2.0,1.0,3.0,7712500.0,3.0,3.0
1824,0.0,1.0,1.0,1.0,1.0,72.0,3.0,3.0,2.0,7.0,1.0,3.0,2121400.0,3.0,3.0
1825,0.0,1.0,1.0,3.0,1.0,100.0,1.0,1.0,1.0,5.0,1.0,6.0,6200000.0,1.0,3.0
1826,0.0,1.0,1.0,1.0,1.0,80.0,1.0,1.0,1.0,8.0,1.0,1.0,124714285.71428572,3.0,3.0
1827,0.0,1.0,1.0,1.0,1.0,99.0,1.0,3.0,2.0,3.0,3.0,6.0,200000.0,3.0,3.0
1828,0.0,3.0,1.0,3.0,1.0,160.0,1.0,3.0,1.0,3.0,3.0,6.0,3812000.0,3.0,3.0
1831,0.0,1.0,1.0,3.0,3.0,90.0,3.0,3.0,1.0,5.0,3.0,6.0,2087500.0,1.0,3.0
1832,0.0,1.0,1.0,1.0,3.0,72.0,1.0,3.0,2.0,4.0,1.0,3.0,161111.11111111112,3.0,3.0
1833,7.0,3.0,1.0,1.0,3.0,64.0,1.0,1.0,1.0,5.0,3.0,6.0,1667500.0,3.0,3.0
1834,10.5,1.0,8.0,3.0,1.0,24.0,1.0,3.0,2.0,2.0,3.0,4.0,0.0,3.0,3.0
1835,0.0,1.0,1.0,1.0,3.0,50.0,1.0,1.0,1.0,4.0,3.0,3.0,2000000.0,3.0,3.0
1836,0.0,1.0,1.0,1.0,1.0,54.0,3.0,3.0,2.0,6.0,3.0,3.0,1112500.0,3.0,3.0
1837,10.0,1.0,1.0,3.0,3.0,72.0,3.0,3.0,2.0,4.0,1.0,6.0,2380000.0,3.0,3.0
1838,0.0,1.0,1.0,1.0,3.0,15.0,3.0,3.0,3.0,2.0,1.0,6.0,1666666.6666666667,3.0,3.0
1839,0.0,1.0,1.0,1.0,1.0,72.0,1.0,1.0,1.0,6.0,1.0,3.0,3820000.0,3.0,3.0
1840,0.0,1.0,1.0,1.0,3.0,76.0,1.0,1.0,1.0,5.0,1.0,3.0,7500000.0,3.0,3.0
1841,7.0,1.0,1.0,3.0,1.0,54.0,3.0,3.0,2.0,4.0,3.0,3.0,62500.0,3.0,3.0
1842,0.0,1.0,1.0,3.0,3.0,28.0,1.0,3.0,2.0,4.0,3.0,3.0,540000.0,3.0,3.0
1844,0.0,1.0,1.0,1.0,1.0,98.0,1.0,3.0,1.0,6.0,1.0,3.0,2820000.0,3.0,3.0
1846,0.0,3.0,2.0,1.0,1.0,32.0,3.0,3.0,2.0,7.0,3.0,4.0,2942857.1428571427,1.0,1.0
1847,0.0,1.0,1.0,3.0,1.0,50.0,1.0,3.0,2.0,4.0,3.0,3.0,1400000.0,1.0,3.0
1848,0.0,1.0,1.0,1.0,1.0,50.0,1.0,3.0,1.0,5.0,3.0,3.0,1075000.0,3.0,3.0
1849,0.0,1.0,1.0,3.0,1.0,21.0,1.0,3.0,1.0,5.0,3.0,3.0,2400000.0,3.0,1.0
1850,0.0,1.0,1.0,1.0,1.0,56.0,3.0,3.0,2.0,4.0,1.0,3.0,1280000.0,1.0,1.0
