,housetype,waste,trash,stagnantwater,nearstable,ventilation,cleanyard,mediumyard,kitchenoutside,sharebedkitch,numroom,floor,outerwall,roof,hhid07,housesqm,own_house,own_otherbuilding,own_land,own_livestock,own_poultry,own_tanamankeras,own_vehicles,own_hhappliance,own_fininstrument_7,own_receivables,own_jewelry,own_furniture,own_others,ricebought,ipercap,hhid14,own_fininstrument_14
9817,1.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,6.0,1.0,1.0,4.0,2392900,70.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,0.0,1825000.0,2392900,1.0
9818,2.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,5.0,1.0,1.0,4.0,2392941,66.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,20.0,3200000.0,2392941,3.0
9819,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,5.0,1.0,1.0,4.0,2393000,37.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,0.0,400000.0,2393000,3.0
9820,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,4.0,2393041,60.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,25.0,3000000.0,2393041,1.0
9821,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,8.0,1.0,1.0,4.0,2393011,80.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,0.0,2800000.0,2393011,3.0
9822,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,5.0,1.0,1.0,4.0,2393031,64.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.5,4500000.0,2393031,1.0
9823,6.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,5.0,2.0,1.0,4.0,2393044,25.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,7.0,0.0,2393044,1.0
9824,5.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,6.0,1.0,1.0,4.0,2393032,64.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,9320000.0,2393032,3.0
9825,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,6.0,1.0,1.0,95.0,2400100,54.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,0.0,720000.0,2400100,3.0
9826,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,5.0,3.0,1.0,4.0,2400141,21.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,14.0,1571428.5714285714,2400141,3.0
9827,2.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,5.0,2400240,10.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,2400240,3.0
9828,1.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,7.0,2.0,1.0,4.0,2400231,68.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,4.0,600000.0,2400231,3.0
9829,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,4.0,1.0,1.0,4.0,2400232,72.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,7.0,250000.0,2400232,3.0
9830,1.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,5.0,6.0,1.0,4.0,2400300,96.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,2.4,4400000.0,2400300,3.0
9831,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,8.0,2.0,1.0,4.0,2400400,252.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,0.0,875000.0,2400400,3.0
9832,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,7.0,2.0,1.0,4.0,2400500,60.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,7.0,1100666.6666666667,2400500,3.0
9833,1.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,4.0,3.0,1.0,4.0,2400541,72.0,1.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,1260000.0,2400541,3.0
9834,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,4.0,2400542,9.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,0.0,6800000.0,2400542,3.0
9835,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,7.0,3.0,1.0,4.0,2400531,60.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,4.5,0.0,2400531,3.0
9836,1.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,7.0,1.0,1.0,4.0,2400600,45.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,0.0,455555.55555555556,2400600,3.0
9837,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,6.0,1.0,1.0,4.0,2400641,90.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,9.0,2200000.0,2400641,3.0
9838,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,8.0,3.0,1.0,4.0,2400700,80.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,0.0,923076.9230769231,2400700,3.0
9839,1.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,5.0,3.0,1.0,4.0,2400741,72.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,7.0,400000.0,2400741,3.0
9840,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,8.0,2.0,1.0,4.0,2400800,70.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,10.5,0.0,2400800,3.0
9842,1.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,7.0,1.0,1.0,4.0,2400900,72.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,1000000.0,2400900,3.0
9843,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,9.0,2.0,1.0,5.0,2400941,49.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,14.0,8000000.0,2400941,1.0
9844,1.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0,6.0,2.0,1.0,4.0,2400931,40.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,10.0,2000000.0,2400931,3.0
9846,1.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,5.0,3.0,1.0,4.0,2400933,60.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,3.5,0.0,2400933,3.0
9847,1.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,2.0,6.0,3.0,4.0,2401100,21.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,900000.0,2401100,3.0
9848,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,10.0,3.0,1.0,4.0,2401200,144.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,5.0,3100000.0,2401200,3.0
9849,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,6.0,3.0,1.0,4.0,2401231,300.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,0.0,150000.0,2401231,3.0
9851,1.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,5.0,3.0,1.0,4.0,2401500,30.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,0.0,0.0,2401500,3.0
9853,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,10.0,1.0,1.0,4.0,2401700,75.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,14.0,58333.333333333336,2401700,3.0
9854,1.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,5.0,6.0,1.0,4.0,2401741,32.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,7.0,800000.0,2401741,3.0
9856,1.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,5.0,3.0,1.0,4.0,2401743,66.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,2100000.0,2401743,1.0
9857,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,5.0,1.0,1.0,4.0,2401744,20.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,900000.0,2401744,3.0
9858,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,6.0,3.0,4.0,2401731,20.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,5.0,1200000.0,2401731,3.0
9859,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,8.0,1.0,1.0,4.0,2401800,84.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,5.0,2800000.0,2401800,1.0
9861,1.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,6.0,1.0,1.0,4.0,2401900,54.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,7.0,3000000.0,2401900,3.0
9862,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,1.0,1.0,4.0,2402000,50.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,7.0,1520000.0,2402000,3.0
9863,1.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,4.0,2.0,3.0,4.0,2402041,35.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,10.0,2730000.0,2402041,3.0
9864,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,8.0,2.0,1.0,4.0,2402100,378.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,4.0,2400000.0,2402100,3.0
9865,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,5.0,3.0,1.0,4.0,2402200,60.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,5.0,1110000.0,2402200,3.0
9866,1.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,6.0,3.0,1.0,4.0,2402300,70.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,7.0,285714.28571428574,2402300,3.0
9867,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,5.0,2402341,16.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,0.0,9600000.0,2402341,1.0
9868,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,6.0,2.0,1.0,4.0,2402400,120.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,5.0,0.0,2402400,3.0
9869,1.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,5.0,6.0,3.0,4.0,2402441,50.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,0.0,166666.66666666666,2402441,1.0
9872,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,6.0,1.0,1.0,4.0,2402600,72.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,4.0,2571428.5714285714,2402600,3.0
9873,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,7.0,3.0,1.0,4.0,2402611,60.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,12.0,1800000.0,2402611,1.0
9874,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,4.0,2402612,6.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,0.0,7200000.0,2402612,1.0
9875,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,9.0,1.0,1.0,4.0,2402700,91.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,0.0,2666666.6666666665,2402700,3.0
9876,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,12.0,1.0,1.0,4.0,2402800,96.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,0.0,600000.0,2402800,1.0
9877,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,9.0,1.0,1.0,5.0,2402841,144.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.5,15000000.0,2402841,3.0
9878,1.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,16.0,2.0,1.0,4.0,2402900,480.0,3.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,7.0,760000.0,2402900,1.0
