,housetype,waste,trash,stagnantwater,nearstable,ventilation,cleanyard,mediumyard,kitchenoutside,sharebedkitch,numroom,floor,outerwall,roof,housesqm,own_house,own_otherbuilding,own_land,own_livestock,own_poultry,own_tanamankeras,own_vehicles,own_hhappliance,own_fininstrument_7,own_receivables,own_jewelry,own_others,ricebought,ipercap,own_fininstrument_14
94,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,6.0,2.0,3.0,30.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,0.0,42000000.0,3.0
95,1.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,6.0,2.0,3.0,49.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.5,562500.0,3.0
96,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,9.0,3.0,1.0,3.0,85.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,0.0,2000000.0,3.0
97,1.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,5.0,3.0,2.0,3.0,60.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,8.0,0.0,3.0
99,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,7.0,3.0,1.0,3.0,60.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,0.0,2700000.0,3.0
100,1.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0,5.0,3.0,2.0,3.0,70.0,,,,,,,,,,,,,0.0,970000.0,3.0
103,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,5.0,3.0,2.0,3.0,50.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,16.0,0.0,3.0
106,5.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,48.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,0.0,3600000.0,1.0
107,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,5.0,3.0,2.0,3.0,50.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,0.0,350000.0,3.0
108,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,8.0,2.0,1.0,3.0,63.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,10.0,880000.0,3.0
110,1.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,2.0,3.0,72.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,16.0,672000.0,3.0
111,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,5.0,3.0,2.0,3.0,80.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,50.0,250000.0,3.0
